model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-photon-combined,0.4,143.59061301605027,4.0,4.266055336704129e-15,9.999357273970794,56.520794278919226,0.17691466302872344,False,4.241416215937147,5.757941058033647,,11.764544530714407,44.75624974820482,,1757103,812401,64321
ALP-photon-combined,0.4,143.59526355741386,4.0,4.2659171743002214e-15,9.998714472833127,56.517212042104305,0.17691450288425878,False,4.241142870911589,5.757571601921538,,11.763791280733106,44.753420761371196,,1757103,812401,64321
ALP-photon-combined,0.4,143.7441604347253,4.0,4.261498339168405e-15,9.96830776217583,56.402815061004496,0.17673422419420462,False,4.232420712346306,5.735887049829524,,11.739712582740646,44.66310247826385,,1757104,812242,64321
ALP-photon-combined,0.4,164.13546919999993,4.0,3.732072683274352e-15,7.666503565123609,43.49386472811234,0.17626632199847603,False,3.2489518221112923,4.417551743012316,,9.029981400489678,34.46388332762266,,1757154,812509,64321
ALP-photon-combined,0.4,279.0302976399999,4.0,2.1953368725143246e-15,2.6709806447203963,15.290713736112759,0.17467991951299322,False,1.1296049423001717,1.5413757024202244,,3.15114292147199,12.139570814640768,,1757325,813325,64321
ALP-photon-combined,0.4,474.3515059879998,4.0,1.2913746308907792e-15,0.9257903166553362,5.3408048948394935,0.17334284529844426,False,0.3915345333019118,0.5342557833534244,,1.0958516067012254,4.244953288138268,,1757412,812698,64321
ALP-photon-combined,0.4,806.3975601795996,4.0,7.596321358181055e-16,0.3216104679827708,1.8583431401870483,0.17306301566587948,False,0.13575729752882426,0.1858531704539466,,0.38030804374194827,1.4780350964451,,1757474,813173,64321
ALP-photon-combined,0.4,1000.0,4.0,6.125655009577385e-16,0.20946321101305804,1.2102980733220998,0.17306745803379714,False,0.08824446975515146,0.12121874125790659,,0.24750963213771807,0.9627884411843817,,1757491,813325,64321
ALP-SU2L,0.5,5.0,5.0,1.1765364500000007e-08,36510.957950372496,56505.638595059194,0.6461471608528107,True,,,36510.957950372496,,,56505.638595059194,611315,429206,74421
ALP-SU2L,0.5,8.5,5.0,6.920802647058827e-09,13098.866010822312,20329.710234758433,0.6443213336325233,True,,,13098.866010822312,,,20329.710234758433,611724,429639,74421
