mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
0.4,9,21.736537307469963,395.26642763305347,6,17.096796521857346,5415.905086793296,0.853608678499423
0.4,9,21.736537307469963,395.26642763305347,7,21.779966205598896,3349.491902041357,0.8542457157646778
0.4,9,21.736537307469963,395.26642763305347,8,27.745953887359985,2073.473391193686,0.8532478489829406
0.4,9,21.736537307469963,395.26642763305347,9,35.34615021218933,1278.915510333941,0.8537194955592855
0.4,9,21.736537307469963,395.26642763305347,10,45.028199062631984,790.659682755792,0.8536133306269779
0.4,9,21.736537307469963,395.26642763305347,11,57.36236333100857,487.89581076918586,0.8535038371359803
0.4,9,21.736537307469963,395.26642763305347,12,73.07511282744834,300.8949380712456,0.8535487340035873
0.4,9,21.736537307469963,395.26642763305347,13,93.09191261751351,185.66427257494215,0.8529613045059581
0.4,9,21.736537307469963,395.26642763305347,14,118.5917319792576,114.44934168406019,0.8534435324617272
0.4,9,21.736537307469963,395.26642763305347,15,151.07648450220142,70.56248854719546,0.853297185400488
0.4,9,21.736537307469963,395.26642763305347,16,192.45948927987664,43.512831260563814,0.8534234023499957
0.4,9,21.736537307469963,395.26642763305347,17,245.17816347077607,26.848559313532153,0.8533603256404091
0.4,9,21.736537307469963,395.26642763305347,18,312.33758370566323,16.530944855505258,0.8531885109861221
0.4,9,21.736537307469963,395.26642763305347,19,397.89337196303796,10.185993754971243,0.8530352718487588
0.4,10,26.234422777612238,276.59587261116286,0,4.0,92383.67598159559,0.8582268342827963
0.4,10,26.234422777612238,276.59587261116286,1,5.095683551653521,58037.14612058649,0.8573288060866616
0.4,10,26.234422777612238,276.59587261116286,2,6.491497714648063,36278.59240626878,0.8567425330163426
0.4,10,26.234422777612238,276.59587261116286,3,8.269654532532142,22627.898699921483,0.8563909206199577
0.4,10,26.234422777612238,276.59587261116286,4,10.534885644820253,14058.326548255704,0.8562692609600884
0.4,10,26.234422777612238,276.59587261116286,5,13.420610874715353,8729.21013367378,0.8560198405793632
0.4,10,26.234422777612238,276.59587261116286,6,17.096796521857346,5415.905086793296,0.855419776608827
0.4,10,26.234422777612238,276.59587261116286,7,21.779966205598896,3349.491902041357,0.8560568138740818
0.4,10,26.234422777612238,276.59587261116286,8,27.745953887359985,2073.473391193686,0.8550589470923445
0.4,10,26.234422777612238,276.59587261116286,9,35.34615021218933,1278.915510333941,0.8555305936686894
0.4,10,26.234422777612238,276.59587261116286,10,45.028199062631984,790.659682755792,0.8554244287363819
0.4,10,26.234422777612238,276.59587261116286,11,57.36236333100857,487.89581076918586,0.8553149352453843
