"m_S [GeV]","K","K_star(892)","K_star(1410)","K_star(1680)","K_1(1270)","K_1(1400)","K_0star(800)","K_0star(1430)","K_2(1430)","Pi"
1.19,0.43636838674616674,0.47343908588269895,0.18785671019945335,0.11569969834457129,0.8903798715413688,0.01108444831603366,0.7412828638817943,0.11289325551756252,0.27387723496131106,0.012617701254840802
1.21,0.43669823795539053,0.4734096067224951,0.18715476428928798,0.11514417487787713,0.8895279289691277,0.010927841486738315,0.7411595279106041,0.11403033820258433,0.27282096600054156,0.012627874495151433
1.23,0.43703375887743146,0.4733780556419182,0.18644083062067096,0.11457928299923238,0.8886520640002298,0.010769247956455735,0.7410240057761538,0.1152006953554651,0.27174307840237416,0.012638227299163652
1.25,0.4373749554267943,0.47334433844747803,0.18571489496592672,0.11400501912359332,0.8877517290139637,0.010608711297378498,0.7408757174793545,0.1164052094360016,0.2706433867946382,0.012648760131547431
1.27,0.43772183336306675,0.47330835794434345,0.18497694288740138,0.11342137979653509,0.8868263616389633,0.010446276903384654,0.7407140670772696,0.11764479183707933,0.2695217043111703,0.012659473461391447
1.29,0.4380743982739832,0.4732700138451381,0.18422695974078712,0.112828361708415,0.8858753844235385,0.010281992050575636,0.7405384423711866,0.11892038351170767,0.26837784272018705,0.012670367761970884
1.31,0.4384326555577732,0.4732292026753572,0.18346493067873385,0.112225961709271,0.8848982044965936,0.01011590595904893,0.740348214591481,0.1202329555787371,0.26721161255971565,0.012681443510504316
1.33,0.43879661040475487,0.4731858176752756,0.18269084065476746,0.11161417682449493,0.8838942132189063,0.009948069855875805,0.7401427380795906,0.12158350990117242,0.2660228232804101,0.012692701187898952
1.35,0.4391662677781458,0.47313974869821207,0.1819046744275338,0.1109930042713214,0.8828627858245602,0.009778537039248445,0.7399213499674365,0.1229730796301852,0.2648112833960844,0.012704141278483743
1.37,0.43954163239405625,0.47309088210500455,0.18110641656539078,0.11036244147617694,0.8818032810522961,0.009607362943754796,0.7396833698546743,0.12440272970703674,0.26357680064231237,0.01271576426972994
1.3900000000000001,0.4399227087006318,0.4730391006545673,0.18029605145137068,0.10972248609293508,0.8807150407665647,0.009434605206731448,0.7394280994841613,0.12587355731412223,0.2623191821434554,0.012727570651958358
1.4100000000000001,0.4403095008563032,0.4729842833903577,0.1794735632885367,0.10907313602212695,0.8795973895680366,0.009260323735638634,0.739154822416106,0.12738669226524113,0.2610382345884898,0.012739560918032852
1.43,0.44070201270710974,0.4729263055225976,0.17863893610575954,0.10841438943115926,0.8784496343933708,0.009084580776392022,0.7388628037013472,0.128943297323966,0.25973376441601953,0.01275173556303935
1.45,0.4411002477630538,0.47286503830610266,0.17779215376394178,0.10774624477559473,0.8772710641039622,0.00890744098257724,0.7385512895543026,0.1305445684376225,0.2584055780088841,0.012764095083949729
1.47,0.44150420917344413,0.47280034891351497,0.17693319996271634,0.10706870082155298,0.8760609490634728,0.00872897148546432,0.7382195070261245,0.13219173487287747,0.2570534818987624,0.012776639979269965
1.49,0.44191389970118483,0.4727321003037821,0.17606205824765267,0.10638175666929366,0.8748185407038898,0.008549241964726487,0.7378666636786784,0.1338860592372646,0.25567728298121795,0.012789370748671734
1.51,0.4423293216959585,0.47266015108567927,0.17517871201800142,0.10568541177804806,0.8735430710798757,0.008368324719758806,0.7374919472599728,0.13562883736912576,0.25427678874161863,0.012802287892606703
1.53,0.44275047706626586,0.4725843553761821,0.17428314453501165,0.10497966599216738,0.872233752411176,0.008186294741477567,0.7370945253817529,0.1374213980764049,0.2528518074923965,0.012815391911902884
1.55,0.4431773672502553,0.4725045626534821,0.17337533893085816,0.10426451956866178,0.87088977661285,0.008003229784469695,0.7366735451999847,0.13926510270248307,0.25140214862212196,0.012828683307341947
1.57,0.4436099931853063,0.4724206176044306,0.17245527821821868,0.10353997320620882,0.8695103148130854,0.007819210439345466,0.7362281330990492,0.14116134449475823,0.24992762285688597,0.012842162579216936
1.59,0.4440483552762946,0.47233235996617584,0.17152294530053858,0.10280602807571242,0.8680945168583651,0.007634320205133484,0.7357573943804814,0.1431115477489498,0.2484280425344937,0.012855830226869251
1.61,0.4444924533624927,0.4722396243617716,0.17057832298303244,0.10206268585250237,0.8666415108057641,0.007448645561538627,0.7352604129571888,0.1451171666991066,0.24690322189199476,0.012869686748204063
1.6300000000000001,0.44494228668303815,0.4721422401294925,0.1696213939844642,0.10130994875026647,0.8651504024021514,0.007262276040867668,0.7347362510541201,0.14717968412001306,0.24535297736709824,0.012883732639183135
1.6500000000000001,0.44539785384090547,0.47204003114561593,0.16865214094975958,0.10054781955681377,0.8636202745500602,0.007075304299404777,0.7341839489164287,0.14930060960508426,0.2437771279140168,0.012897968393294082
1.6700000000000002,0.44585915276531624,0.47193281564038,0.1676705464635004,0.0997763016717766,0.8620501867600572,0.006887826188001175,0.7336025245262485,0.1514814774789102,0.2421754953343291,0.012912394500994795
1.69,0.44632618067251567,0.47182040600686,0.16667659306436008,0.0989953991463611,0.8604391745893726,0.006699940821618754,0.7329909733292697,0.15372384429931307,0.240547904623439,0.01292701144913219
1.71,0.4467989340248408,0.47170260860243024,0.1656702632605377,0.09820511672526655,0.8587862490666178,0.006511750647543531,0.7323482679723764,0.15602928589911375,0.238894184333257,0.012941819720333769
1.73,0.44727740848800185,0.47157922354255133,0.1646515395462564,0.09740545989090003,0.8570903961024215,0.006323361511959603,0.7316733580536946,0.15839939391272626,0.23721416695171504,0.012956819792371004
1.75,0.44776159888649736,0.4714500444865066,0.16362040441939407,0.0965964349100218,0.8553505758858089,0.006134882724545965,0.7309651698864729,0.1608357717272094,0.2355076892997755,0.012972012137493093
1.77,0.4482514991570746,0.47131485841479087,0.1625768404003163,0.09577804888296419,0.8535657222662001,0.005946427120728551,0.730222606278313,0.16334002979147177,0.2337745929465841,0.01298739722172973
1.79,0.4487471023001457,0.4711734453977626,0.16152083005199147,0.09495030979557792,0.8517347421208822,0.005758111121188493,0.7294445463273556,0.16591378021094308,0.23201472464345582,0.01300297550416153
1.81,0.4492484003290674,0.4710255783552223,0.16045235600147045,0.0941132265740692,0.8498565147079002,0.005570054788193429,0.7286298452371215,0.16855863054818615,0.23022793677739234,0.0130187474361565
1.83,0.4497553842171798,0.470871022806495,0.15937140096281624,0.09326680914290066,0.8479298910042419,0.005382381878282127,0.7277773341518091,0.17127617674261408,0.22841408784484135,0.013034713460571076
1.85,0.4502680438425055,0.47070953661062637,0.15827794776157852,0.0924110684859427,0.8459536930293313,0.005195219890794286,0.7268858200139472,0.1740679950547279,0.22657304294643738,0.013050874010913973
1.87,0.45078636792999494,0.4705408696962726,0.15717197936091473,0.09154601671107356,0.8439267131538012,0.00500870011169595,0.7259540854464095,0.17693563293208917,0.22470467430347107,0.013067229510471198
1.8900000000000001,0.4513103439912067,0.47036476378081166,0.15605347888946053,0.09067166711843878,0.8418477133935929,0.004822957652106478,0.7249808886609201,0.17988059868564799,0.22280886179685463,0.013083780371390356
1.9100000000000001,0.4518399582612952,0.4701809520782384,0.1549224296710666,0.0897880342725974,0.8397154246894659,0.004638131480887658,0.723964963395265,0.18290434985609574,0.2208854935293698,0.013100526993722342
1.93,0.45237519563318807,0.4699891589953249,0.15377881525652287,0.08889513407879601,0.8375285461720566,0.004454364450603926,0.7229050188815752,0.1860082801406801,0.21893446641199235,0.013117469764418428
1.95,0.452916039588809,0.4697890998155545,0.1526226194573979,0.08799298386362979,0.8352857444126887,0.004271803316111682,0.7217997398481477,0.18919370474150002,0.216955686775113,0.013134609056280635
1.97,0.45346247212721325,0.4695804803702744,0.15145382638213606,0.08708160246036659,0.8329856526601802,0.004090598744979032,0.7206477865574028,0.1924618439868363,0.21494907100547678,0.013151945226863221
1.99,0.4540144736894813,0.4693629966965114,0.15027242047455594,0.08616101029923155,0.8306268700639996,0.0039109053188779355,0.7194477948826999,0.19581380506771215,0.21291454620969022,0.013169478617322811
2.01,0.4545720230802198,0.46913633468084753,0.14907838655491473,0.08523122950296955,0.8282079608841784,0.0037328815250289894,0.7181983764268814,0.19925056172286404,0.2108520509051408,0.01318720955121501
2.03,0.4551350973855041,0.4689001696887518,0.1478717098637024,0.0842922839880248,0.8257274536884897,0.0035566897367126237,0.7168981186855273,0.20277293169687768,0.2087615357392006,0.013205138333234664
2.05,0.4557036718870857,0.4686541661787027,0.14665237610835297,0.08334419957170602,0.8231838405375068,0.0033824961817909807,0.7155455852580539,0.20638155178875725,0.20664296423758577,0.013223265247897284
2.07,0.45627771997268834,0.46839797730042326,0.1454203715130639,0.08238700408572663,0.8205755761582658,0.0032104708981118453,0.7141393161099437,0.21007685030205406,0.2044963135827489,0.013241590558158635
2.09,0.45685721304219834,0.46813124447650334,0.14417568287193247,0.08142072749654174,0.8179010771073827,0.003040787674589452,0.7126778278894962,0.2138590167033709,0.20232157542319995,0.013260114503969769
2.11,0.4574421204095459,0.46785359696668577,0.14291829760563607,0.08044540203293762,0.815158720924623,0.0028736239766756935,0.7111596143026878,0.2177279682941691,0.2001187567146386,0.013278837300764108
2.13,0.45803240920006805,0.4675646514139896,0.1416482038218924,0.0794610623213577,0.8123468452780692,0.0027091608548521708,0.7095831465498265,0.2216833137020663,0.19788788059379542,0.013297759137873545
2.15,0.4586280442431225,0.4672640113718717,0.1403653903799583,0.0784677455294914,0.809463747102221,0.0025475828346849696,0.7079468738278648,0.22572431300300652,0.19562898728587208,0.013316880176869906
2.17,0.4592289879597257,0.4669512668115469,0.13906984695944366,0.07746549151869218,0.8065076817305344,0.0023890777868931013,0.7062492239023702,0.2298498342958196,0.19334213504646378,0.013336200549828404
2.19,0.45983520024495306,0.4666259936085599,0.1377615641337367,0.076454343005832,0.8034768620241443,0.002233836775786391,0.7044886037532957,0.23405830656685608,0.1910274011388498,0.01335572035750902
2.21,0.4604466383448501,0.46628775300764913,0.1364405334483574,0.07543434573525185,0.8003694574987424,0.0020820538843309066,0.7026634002988513,0.23834766870587226,0.18868488284751125,0.013375439667451978
2.23,0.46106325672756776,0.46593609106490164,0.13510674750458498,0.07440554866151848,0.7971835934518346,0.001933926013998426,0.7007719812019041,0.24271531456658602,0.18631469852873453,0.013395358511983082
2.25,0.46168500694843195,0.46557053806614673,0.13376020004872238,0.07336800414375408,0.7939173500929204,0.001789652657452944,0.6988126957634881,0.24715803400797187,0.18391698869913287,0.013415476886124383
2.27,0.4623118375086373,0.4651906079204771,0.13240088606739933,0.07232176815237196,0.79056876167943,0.0016494356420208658,0.6967838759081335,0.2516719499071669,0.1814919171628883,0.013435794745405624
2.29,0.4629436937072397,0.46479579752774497,0.13102880188933497,0.07126690048911505,0.7871358156616352,0.0015134788417834988,0.6946838372658608,0.25625245120379997,0.17903967217849487,0.013456312003571518
2.31,0.4635805174860955,0.4643855861188037,0.12964394529402323,0.07020346502137577,0.7836164518401303,0.0013819878560212549,0.69251088035581,0.2608941221206937,0.17656046766574468,0.013477028530179647
2.3299999999999996,0.4642222472673903,0.46395943456722527,0.12824631562783392,0.06913152993185229,0.7800085615399175,0.0012551696516293817,0.6902632918765861,0.2655906678094137,0.1740545444536485,0.013497944148083571
2.3499999999999996,0.4648688177833648,0.4635167846711346,0.12683591392806234,0.06805116798469253,0.7763099868056103,0.001133232167015523,0.6879393461085123,0.27033483679325226,0.17152217156994268,0.013519058630795389
2.3699999999999997,0.4655201598978294,0.46305705840376876,0.1254127430555055,0.06696245680937486,0.7725185196228116,0.0010163838748817493,0.6855373064330889,0.2751183407271092,0.16896364757276675,0.013540371699721748
2.3899999999999997,0.46617620041903973,0.46257965713126337,0.1239768078361849,0.06586547920368568,0.7686319011712814,0.0009048333011887022,0.6830554269750176,0.27993177216537946,0.16637930192503325,0.013561883021266825
2.4099999999999997,0.4668368619034704,0.462083960796106,0.12252811521288665,0.06476032345727646,0.7646478211161825,0.0007987884974982213,0.6804919543722464,0.28476452122704715,0.16376949641193297,0.01358359220379571
2.4299999999999997,0.4675020624500031,0.46156932706464454,0.1210666744072478,0.06364708369741634,0.7605639169443781,0.0006984564637962998,0.6778451296795189,0.28960469227297725,0.16113462660192734,0.01360549879445098
2.4499999999999997,0.4681717154840213,0.4610350904369017,0.11959249709317152,0.06252586025870967,0.7563777733535594,0.0006040425188106785,0.675113190410955,0.29443902196430977,0.15847512335148503,0.013627602275815002
2.4699999999999998,0.46884572953085846,0.46048056131691717,0.11810559758242305,0.061396760078707945,0.7520869217028202,0.000515749614760618,0.6722943727272159,0.2992528003524296,0.15579145435370595,0.013649902062410187
2.4899999999999998,0.4695240079780338,0.4599050250417122,0.11660599302332607,0.060259897121534484,0.7476888395342668,0.0004337775934122731,0.6693869137727582,0.304029796958331,0.15308412573084332,0.013672397497028723
2.51,0.4702064488256574,0.4593077408668919,0.11509370361356082,0.05911539283184416,0.7431809501762696,0.0003583223802646314,0.6663890541686884,0.30875219412879634,0.1503536836706016,0.013695087846883173
2.53,0.4708929444243608,0.4586879409067939,0.11356875282814498,0.057963376621666354,0.7385606224401351,0.00028957511366199944,0.663299040666617,0.31340053030300136,0.1476007161059204,0.013717972299568457
2.55,0.47158338120006404,0.45804482902700044,0.11203116766377527,0.05680398639293954,0.7338251704232102,0.0002277212056233031,0.6601151289688488,0.317953656177754,0.14482585443778548,0.013741049958825724
2.57,0.47227763936485184,0.45737757968690684,0.11048097890080938,0.0556373690988271,0.7289718534328361,0.000172939331200072,0.6568355867200812,0.32238870711140966,0.14202977530039793,0.01376431984009741
2.59,0.47297559261317973,0.45668533672992484,0.10891822138427631,0.054463681347227386,0.7239978760470805,0.00012540034322974222,0.6534586966756181,0.3266810954410139,0.139213202367826,0.013787780865862888
2.61,0.4736771078025954,0.4559672121188116,0.10734293432543464,0.053283090050251856,0.7189003883298456,0.000085266109443696,0.6499827600508996,0.3308045266861613,0.1363769082010127,0.01381143186074298
2.63,0.47438204461809297,0.45522228461344716,0.1057551616255223,0.052095773123850296,0.7136764862197662,0.0000526882690271862,0.6464061000568543,0.33473104385416397,0.13352171613373723,0.013835271546361154
2.65,0.47509025521917514,0.4544495983882763,0.10415495222350421,0.05090192024222117,0.7083232121143468,0.00002780690591793081,0.6427270656252994,0.3384311042183719,0.13064850219583915,0.013859298535948555
2.67,0.4758015838686354,0.4536481615865079,0.10254236046977774,0.049701733652166916,0.7028375556729521,0.000010749136379660367,0.6389440353282229,0.34187369298499354,0.12775819707166805,0.013883511328679135
