mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.0,73241,photon,14,12.861417238977731,12,100000,0.9971,0.9971,0.0029,0.0,-43.453729641422406,16.437109989770804
1.0,73241,photon,15,13.09468851551533,1,100000,0.74562,0.74562,0.25438,0.0,-3.663852024904337,4.762909981457499
1.0,73241,photon,15,13.09468851551533,2,100000,0.8419,0.8419,0.1581,0.0,-7.310280904952091,6.719162459497952
1.0,73241,photon,15,13.09468851551533,3,100000,0.9009,0.9009,0.0991,0.0,-10.94733195972774,8.210736350202081
1.0,73241,photon,15,13.09468851551533,4,100000,0.93851,0.93851,0.06149,0.0,-14.592922752370765,9.512507618563848
1.0,73241,photon,15,13.09468851551533,5,100000,0.9604,0.9604,0.0396,0.0,-18.262051321547712,10.635029890889625
1.0,73241,photon,15,13.09468851551533,6,100000,0.97449,0.97449,0.02551,0.0,-21.919950816653405,11.637731138245783
1.0,73241,photon,15,13.09468851551533,7,100000,0.98276,0.98276,0.01724,0.0,-25.554415342641583,12.563710246726304
1.0,73241,photon,15,13.09468851551533,8,100000,0.98839,0.98839,0.01161,0.0,-29.199079471663236,13.428736686898626
1.0,73241,photon,15,13.09468851551533,9,100000,0.992,0.992,0.008,0.0,-32.82943450428511,14.226578327593568
1.0,73241,photon,15,13.09468851551533,10,100000,0.99493,0.99493,0.00507,0.0,-36.45546469757768,14.975036765985573
1.0,73241,photon,15,13.09468851551533,11,100000,0.99632,0.99632,0.00368,0.0,-40.10376067420746,15.704258092217831
1.0,73241,photon,15,13.09468851551533,12,100000,0.99772,0.99772,0.00228,0.0,-43.7297283662336,16.396056050983137
1.0,73241,photon,16,13.332190701247947,1,100000,0.74399,0.74399,0.25601,0.0,-3.6245303048609383,4.759651732788308
1.0,73241,photon,16,13.332190701247947,2,100000,0.83821,0.83821,0.16179,0.0,-7.260303931098491,6.742270402862299
1.0,73241,photon,16,13.332190701247947,3,100000,0.89839,0.89839,0.10161,0.0,-10.88513387431952,8.234146046902774
1.0,73241,photon,16,13.332190701247947,4,100000,0.93735,0.93735,0.06265,0.0,-14.51463458174313,9.500850347936332
1.0,73241,photon,16,13.332190701247947,5,100000,0.96017,0.96017,0.03983,0.0,-18.175993884450122,10.6319301777567
1.0,73241,photon,16,13.332190701247947,6,100000,0.97398,0.97398,0.02602,0.0,-21.83517320773996,11.652950154288918
1.0,73241,photon,16,13.332190701247947,7,100000,0.9828,0.9828,0.0172,0.0,-25.476216661935453,12.569929702076845
1.0,73241,photon,16,13.332190701247947,8,100000,0.98797,0.98797,0.01203,0.0,-29.12951246139729,13.459394604069342
1.0,73241,photon,16,13.332190701247947,9,100000,0.99189,0.99189,0.00811,0.0,-32.75692672192605,14.264306402089765
1.0,73241,photon,16,13.332190701247947,10,100000,0.99436,0.99436,0.00564,0.0,-36.39763190493876,15.030877869086309
1.0,73241,photon,16,13.332190701247947,11,100000,0.99618,0.99618,0.00382,0.0,-40.01612400813309,15.767526437739164
1.0,73241,photon,16,13.332190701247947,12,100000,0.99732,0.99732,0.00268,0.0,-43.64462122242057,16.44238450059869
1.0,73241,photon,17,13.57400053340996,1,100000,0.74291,0.74291,0.25709,0.0,-3.6300066001715865,4.753444926988739
1.0,73241,photon,17,13.57400053340996,2,100000,0.84119,0.84119,0.15881,0.0,-7.288780546280843,6.704273433917107
1.0,73241,photon,17,13.57400053340996,3,100000,0.90149,0.90149,0.09851,0.0,-10.952474923565555,8.237935341722283
1.0,73241,photon,17,13.57400053340996,4,100000,0.93897,0.93897,0.06103,0.0,-14.605279863930972,9.497265894843224
1.0,73241,photon,17,13.57400053340996,5,100000,0.96044,0.96044,0.03956,0.0,-18.245298635432963,10.606695727431493
1.0,73241,photon,17,13.57400053340996,6,100000,0.97427,0.97427,0.02573,0.0,-21.886439151870352,11.609517091484845
1.0,73241,photon,17,13.57400053340996,7,100000,0.98284,0.98284,0.01716,0.0,-25.519758435469246,12.55578108565285
1.0,73241,photon,17,13.57400053340996,8,100000,0.98816,0.98816,0.01184,0.0,-29.15279920113488,13.40035526040799
1.0,73241,photon,17,13.57400053340996,9,100000,0.99204,0.99204,0.00796,0.0,-32.789991503961694,14.219048593084072
1.0,73241,photon,17,13.57400053340996,10,100000,0.99452,0.99452,0.00548,0.0,-36.43550634829961,14.996300731954312
1.0,73241,photon,17,13.57400053340996,11,100000,0.99634,0.99634,0.00366,0.0,-40.046380345055674,15.739529410182328
1.0,73241,photon,17,13.57400053340996,12,100000,0.99738,0.99738,0.00262,0.0,-43.67197254391058,16.4326366799391
1.0,73241,photon,18,13.820196141041313,1,100000,0.74703,0.74703,0.25297,0.0,-3.6831571580626044,4.773546128414622
1.0,73241,photon,18,13.820196141041313,2,100000,0.84113,0.84113,0.15887,0.0,-7.357516885251172,6.737098087421901
1.0,73241,photon,18,13.820196141041313,3,100000,0.90178,0.90178,0.09822,0.0,-11.009104125374414,8.238367763360266
1.0,73241,photon,18,13.820196141041313,4,100000,0.93831,0.93831,0.06169,0.0,-14.65734221300782,9.514861812070196
1.0,73241,photon,18,13.820196141041313,5,100000,0.96031,0.96031,0.03969,0.0,-18.315950012573452,10.63672626522431
1.0,73241,photon,18,13.820196141041313,6,100000,0.97397,0.97397,0.02603,0.0,-21.969871228257954,11.658073611509677
1.0,73241,photon,18,13.820196141041313,7,100000,0.98225,0.98225,0.01775,0.0,-25.6147741793352,12.594586647554067
1.0,73241,photon,18,13.820196141041313,8,100000,0.98753,0.98753,0.01247,0.0,-29.258013166095974,13.448932146275036
1.0,73241,photon,18,13.820196141041313,9,100000,0.99185,0.99185,0.00815,0.0,-32.89469738395284,14.254609512121423
1.0,73241,photon,18,13.820196141041313,10,100000,0.99443,0.99443,0.00557,0.0,-36.52598684894486,15.033967890471637
1.0,73241,photon,18,13.820196141041313,11,100000,0.99633,0.99633,0.00367,0.0,-40.17271127003228,15.753729964677394
1.0,73241,photon,18,13.820196141041313,12,100000,0.99752,0.99752,0.00248,0.0,-43.799341350927335,16.469708611405984
1.0,73241,photon,19,14.070857070231174,1,100000,0.74529,0.74529,0.25471,0.0,-3.6616514215793203,4.765139251551129
1.0,73241,photon,19,14.070857070231174,2,100000,0.84163,0.84163,0.15837,0.0,-7.326963386030624,6.724889335827964
1.0,73241,photon,19,14.070857070231174,3,100000,0.90162,0.90162,0.09838,0.0,-11.003627024055492,8.221572248658106
1.0,73241,photon,19,14.070857070231174,4,100000,0.93966,0.93966,0.06034,0.0,-14.671045702502196,9.491068396682781
1.0,73241,photon,19,14.070857070231174,5,100000,0.96125,0.96125,0.03875,0.0,-18.349826499411126,10.590317268751244
1.0,73241,photon,19,14.070857070231174,6,100000,0.97392,0.97392,0.02608,0.0,-22.03780139551533,11.607544409945891
1.0,73241,photon,19,14.070857070231174,7,100000,0.98272,0.98272,0.01728,0.0,-25.699126499215165,12.56409863749381
1.0,73241,photon,19,14.070857070231174,8,100000,0.98844,0.98844,0.01156,0.0,-29.336128216230367,13.426918467131507
1.0,73241,photon,19,14.070857070231174,9,100000,0.99224,0.99224,0.00776,0.0,-33.027217727669154,14.243557635109507
1.0,73241,photon,19,14.070857070231174,10,100000,0.99455,0.99455,0.00545,0.0,-36.67313478782304,15.04047328034025
1.0,73241,photon,19,14.070857070231174,11,100000,0.99618,0.99618,0.00382,0.0,-40.320635603317164,15.776297599809078
1.0,73241,photon,19,14.070857070231174,12,100000,0.99745,0.99745,0.00255,0.0,-43.93906218252293,16.485316999432403
1.0,73241,su2,0,10.000000000000002,1,100000,0.8351,0.1649,0.8351,0.0,1.9089131984710164,1.78081458144799
1.0,73241,su2,0,10.000000000000002,2,100000,0.91742,0.08258,0.91742,0.0,3.81460389871773,2.512412310099576
1.0,73241,su2,0,10.000000000000002,3,100000,0.9506,0.0494,0.9506,0.0,5.716795276651677,3.0797243227552262
1.0,73241,su2,0,10.000000000000002,4,100000,0.9674,0.0326,0.9674,0.0,7.612975378265507,3.5629619674268915
1.0,73241,su2,0,10.000000000000002,5,100000,0.978,0.022,0.978,0.0,9.506984564663696,3.980296760379746
1.0,73241,su2,0,10.000000000000002,6,100000,0.98528,0.01472,0.98528,0.0,11.389428596195025,4.363681576365332
1.0,73241,su2,0,10.000000000000002,7,100000,0.98997,0.01003,0.98997,0.0,13.27280570505715,4.7224632321173665
1.0,73241,su2,0,10.000000000000002,8,100000,0.99339,0.00661,0.99339,0.0,15.147276809626245,5.053872801782965
1.0,73241,su2,0,10.000000000000002,9,100000,0.99562,0.00438,0.99562,0.0,17.027616211981787,5.36813386092131
1.0,73241,su2,0,10.000000000000002,10,100000,0.99684,0.00316,0.99684,0.0,18.912900807849013,5.659352051699064
1.0,73241,su2,0,10.000000000000002,11,100000,0.9978,0.0022,0.9978,0.0,20.796067881526746,5.932846964132242
1.0,73241,su2,0,10.000000000000002,12,100000,0.99861,0.00139,0.99861,0.0,22.68307978455861,6.196204215338825
1.0,73241,su2,1,11.505277171756266,1,100000,0.83237,0.16763,0.83237,0.0,1.8982434698897808,1.774911313635335
1.0,73241,su2,1,11.505277171756266,2,100000,0.91697,0.08303,0.91697,0.0,3.789042747475115,2.5067403248036078
1.0,73241,su2,1,11.505277171756266,3,100000,0.95005,0.04995,0.95005,0.0,5.67570180401462,3.0773132514203922
1.0,73241,su2,1,11.505277171756266,4,100000,0.96757,0.03243,0.96757,0.0,7.559647523419957,3.5589565378123442
1.0,73241,su2,1,11.505277171756266,5,100000,0.97877,0.02123,0.97877,0.0,9.430732049361131,3.9804513746785584
1.0,73241,su2,1,11.505277171756266,6,100000,0.98557,0.01443,0.98557,0.0,11.321144304152252,4.3640237235917905
1.0,73241,su2,1,11.505277171756266,7,100000,0.99036,0.00964,0.99036,0.0,13.201862695649409,4.708379261875359
1.0,73241,su2,1,11.505277171756266,8,100000,0.99376,0.00624,0.99376,0.0,15.072884018385839,5.035738529126943
1.0,73241,su2,1,11.505277171756266,9,100000,0.99577,0.00423,0.99577,0.0,16.9431364147084,5.343831977822926
1.0,73241,su2,1,11.505277171756266,10,100000,0.99716,0.00284,0.99716,0.0,18.809563182657612,5.640156444447332
1.0,73241,su2,1,11.505277171756266,11,100000,0.99824,0.00176,0.99824,0.0,20.68278722576484,5.901592240093765
1.0,73241,su2,1,11.505277171756266,12,100000,0.99868,0.00132,0.99868,0.0,22.553092591945603,6.163965652592147
1.0,73241,su2,2,13.237140279893586,1,100000,0.83303,0.16697,0.83303,0.0,1.8915726391986831,1.788658147500776
1.0,73241,su2,2,13.237140279893586,2,100000,0.91399,0.08601,0.91399,0.0,3.7632066369638184,2.5363603683423577
1.0,73241,su2,2,13.237140279893586,3,100000,0.94744,0.05256,0.94744,0.0,5.62647292726406,3.1175587715128152
1.0,73241,su2,2,13.237140279893586,4,100000,0.9642,0.0358,0.9642,0.0,7.493213011312515,3.6088952648885213
1.0,73241,su2,2,13.237140279893586,5,100000,0.97601,0.02399,0.97601,0.0,9.355955920494337,4.036729629243271
