mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.05,73241,photon,15,11.747604880653032,8,100000,0.982,0.982,0.018,0.0,-25.044096952983228,12.483753911427268
1.05,73241,photon,15,11.747604880653032,9,100000,0.98735,0.98735,0.01265,0.0,-28.177325462324767,13.239002939228584
1.05,73241,photon,15,11.747604880653032,10,100000,0.99083,0.99083,0.00917,0.0,-31.287121105929742,13.940770235836451
1.05,73241,photon,15,11.747604880653032,11,100000,0.99349,0.99349,0.00651,0.0,-34.44317806741618,14.634732538568496
1.05,73241,photon,15,11.747604880653032,12,100000,0.99535,0.99535,0.00465,0.0,-37.524140913179004,15.271960138030954
1.05,73241,photon,16,11.835864914647022,1,100000,0.7237,0.7237,0.2763,0.0,-3.108346919236583,4.402960687358177
1.05,73241,photon,16,11.835864914647022,2,100000,0.81857,0.81857,0.18143,0.0,-6.240584704327426,6.21525284821692
1.05,73241,photon,16,11.835864914647022,3,100000,0.88134,0.88134,0.11866,0.0,-9.382810771013364,7.609097360270014
1.05,73241,photon,16,11.835864914647022,4,100000,0.9223,0.9223,0.0777,0.0,-12.522209193096753,8.79981113835456
1.05,73241,photon,16,11.835864914647022,5,100000,0.94723,0.94723,0.05277,0.0,-15.665537828217069,9.862299041439453
1.05,73241,photon,16,11.835864914647022,6,100000,0.96368,0.96368,0.03632,0.0,-18.787930363313883,10.787279590973721
1.05,73241,photon,16,11.835864914647022,7,100000,0.97454,0.97454,0.02546,0.0,-21.934285834446683,11.642411227702478
1.05,73241,photon,16,11.835864914647022,8,100000,0.98244,0.98244,0.01756,0.0,-25.07631283184924,12.42893001624526
1.05,73241,photon,16,11.835864914647022,9,100000,0.98739,0.98739,0.01261,0.0,-28.234866591831036,13.176290182183942
1.05,73241,photon,16,11.835864914647022,10,100000,0.99142,0.99142,0.00858,0.0,-31.384850236074524,13.896868407289105
1.05,73241,photon,16,11.835864914647022,11,100000,0.99363,0.99363,0.00637,0.0,-34.5047537969028,14.59624649888235
1.05,73241,photon,16,11.835864914647022,12,100000,0.99543,0.99543,0.00457,0.0,-37.665455022345476,15.26170026967484
1.05,73241,photon,17,11.924788048368978,1,100000,0.72471,0.72471,0.27529,0.0,-3.114893680190863,4.397097794307759
1.05,73241,photon,17,11.924788048368978,2,100000,0.81824,0.81824,0.18176,0.0,-6.280835053532927,6.208240527085561
1.05,73241,photon,17,11.924788048368978,3,100000,0.88083,0.88083,0.11917,0.0,-9.389417390457165,7.6379288784571395
1.05,73241,photon,17,11.924788048368978,4,100000,0.92288,0.92288,0.07712,0.0,-12.552765236393325,8.811585074575957
1.05,73241,photon,17,11.924788048368978,5,100000,0.94818,0.94818,0.05182,0.0,-15.680406907349052,9.849216936722843
1.05,73241,photon,17,11.924788048368978,6,100000,0.96316,0.96316,0.03684,0.0,-18.813527478308455,10.809916728108805
1.05,73241,photon,17,11.924788048368978,7,100000,0.97444,0.97444,0.02556,0.0,-21.934459368919413,11.671667257943227
1.05,73241,photon,17,11.924788048368978,8,100000,0.98139,0.98139,0.01861,0.0,-25.07544897134061,12.490119896051883
1.05,73241,photon,17,11.924788048368978,9,100000,0.9866,0.9866,0.0134,0.0,-28.193272866204268,13.268359053507846
1.05,73241,photon,17,11.924788048368978,10,100000,0.9907,0.9907,0.0093,0.0,-31.352865120769753,13.974506341987087
1.05,73241,photon,17,11.924788048368978,11,100000,0.99331,0.99331,0.00669,0.0,-34.50447510601946,14.67110462771939
1.05,73241,photon,17,11.924788048368978,12,100000,0.99511,0.99511,0.00489,0.0,-37.65344708437929,15.308125965104148
1.05,73241,photon,18,12.014379263702873,1,100000,0.72482,0.72482,0.27518,0.0,-3.1118455578180115,4.3891091834113185
1.05,73241,photon,18,12.014379263702873,2,100000,0.81727,0.81727,0.18273,0.0,-6.23555039698801,6.216111255161672
1.05,73241,photon,18,12.014379263702873,3,100000,0.88086,0.88086,0.11914,0.0,-9.373114736743137,7.604288294563534
1.05,73241,photon,18,12.014379263702873,4,100000,0.92289,0.92289,0.07711,0.0,-12.504540582488907,8.785467032865887
1.05,73241,photon,18,12.014379263702873,5,100000,0.94776,0.94776,0.05224,0.0,-15.633092882644307,9.82373164735024
