model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff,common_ctau_lower_m,common_ctau_upper_m
ALP-SU2L,ALP-$SU(2)_L$,0.5,25.618703439309,71.67644932836843,66.12808293172918,43.656325121440105,100.0376362936895,0.0008395459121999644,496227.11119416653,612085,1.000000000000002,1.0,920558.8149147655,0.3082158704867878,0.612085,0.013408393521058694,1.0,2328.60069405963,1000.0,False,143.35289865673687,3672.5153978522594,True,0.008543985227716482,0.008543985227716488,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,33.637341937808,71.56070431295696,66.05110937585283,43.5605233363626,99.95281171060833,0.0013183052681496647,477933.4046086997,612139,1.000000000000006,1.0,701111.3815516885,0.3082158704867878,0.612139,0.010266451419440341,1.0,1358.0395589582567,1000.0,False,143.12140862591392,4814.2237605706105,True,0.007254218244026305,0.007254218244026306,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,44.165809379131,71.4591669931774,65.98339312871757,43.481325818298,99.87836760028118,0.0017309776192207893,456457.9219723415,612186,0.9999999999999991,1.0,533976.9294228464,0.3082158704867878,0.612186,0.007852343208276786,1.0,791.1524148111592,1000.0,False,142.9183339863548,6312.103895624326,True,0.00611181922598109,0.006111819225981002,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,57.98968068643,71.36864400953702,65.92759258645222,43.410161365176116,99.8229765579786,0.0022175075599632312,433017.2298797297,612215,0.9999999999999983,1.0,406684.8273448389,0.3082158704867878,0.612215,0.006000965527793926,1.0,460.50893980704666,1000.0,False,142.73728801907404,8277.289754273093,True,0.0051040537545181865,0.005104053754518195,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,76.140415253051,71.28723269495656,65.87131126131115,43.33643754572223,99.77184953573587,0.002713169229975728,408731.6069551273,612243,0.9999999999999974,1.0,309737.2558235176,0.3082158704867878,0.612243,0.004583172832126556,1.0,267.87890003926265,1000.0,False,142.57446538991312,10855.678999269732,True,0.004181068928999193,0.004181068928999193,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,99.972318631229,71.21685966355749,65.8322889599425,43.2792071464815,99.73122602552864,0.003196501559630173,384672.50893550616,612263,1.0000000000000027,1.0,235900.53327397953,0.3082158704867878,0.612263,0.0034984466756482154,1.0,155.7389326174306,1000.0,False,142.43371932711497,14239.429172401378,True,0.0033722646245552858,0.0033722646245552892,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,1000.0,70.93622092615104,65.6672716518098,43.05378361625182,99.57872837036714,0.005550796535558164,259911.21467109997,612314,0.9999999999999972,1.0,23583.52327774312,0.3082158704867878,0.612314,0.00035240464624295174,1.0,1.5684818579909665,1000.0,True,141.87244185230207,141872.4418523021,False,0.0,0.0,16,5.0,99.97231863122911
ALP-photon-primary,"ALP-photon, primary",0.5,5.0,21.165664473553534,15.232894263079642,7.412753442253159,33.41672648681803,1.4025931651503782e-07,702006.2420305992,878153,1.000000000000001,1.0,18080.64422762002,0.8566153016286332,0.878153,0.175686541092596,1.0,2389.507568510746,1000.0,False,42.33132894710707,211.65664473553534,True,0.15421435902855568,0.1542143590285558,4,5.0,99.97231863122911
ALP-photon-primary,"ALP-photon, primary",0.5,6.564996940125,20.169429110340925,14.372176819691559,6.932187472998681,31.874352728162616,4.066887296202485e-07,666009.6239842082,879009,0.9999999999999987,1.0,13770.489455304882,0.8566153016286332,0.879009,0.14965729336408184,1.0,1551.7666471549442,1000.0,False,40.33885822068185,264.82448078691255,True,0.12367006428587134,0.12367006428587135,4,5.0,99.97231863122911
ALP-photon-primary,"ALP-photon, primary",0.5,8.619836964771,19.374526587444365,13.695547598992865,6.556961069470821,30.633440501431416,9.56066760061104e-07,631585.2710109208,879648,1.0000000000000007,1.0,10487.811023291417,0.8566153016286332,0.879648,0.1248761617782554,1.0,986.8681719260707,1000.0,False,38.74905317488873,334.010520906783,True,0.09849080086887987,0.0984908008688799,4,5.0,99.97231863122911
