profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,4.0,4.0,2.8724034500000002e-08,92383.67598159559,136779.42569834623,0.6754208501016727,True,,,92383.67598159559,0.0,610388,444133,64421,5c3a2c88df93cb676f49ab3ed9c54ecb52578360184db6bf2bb5dfbf903500e1,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,6.8,4.0,1.6896490882352943e-08,33124.03613750037,49193.30302210822,0.6733444209390437,True,,,33124.03613750037,0.0,610790,444326,64421,c51f84009a7c4486efef4e6d6280eac31a118c106dd2db1ca0839493b37edce5,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,11.559999999999999,4.0,9.939112283737027e-09,11720.306393869394,17421.32491333007,0.6727563174544494,True,,,11720.306393869394,0.0,610992,444903,64421,33cb48369741e5436a0246913523716436d8fe936c9fb5502ee62e0807ca2e76,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,19.651999999999997,4.0,5.846536637492369e-09,4109.182143217465,6114.83817512362,0.6720017808377066,True,,,4109.182143217465,0.0,611125,445196,64421,ee07eb341a1ad529500ab70458a64d111c4aaa37285cb9476577a1ab17786e40,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,33.40839999999999,4.0,3.4391391985249227e-09,1431.1197499383288,2135.3460269940306,0.6702050777001912,True,,,1431.1197499383288,0.0,611219,445100,64421,6af21666c904d4c3856f134de2d487aa5e89d74d7cc5779cfa3b084b3424d299,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,56.794279999999986,4.0,2.0230230579558372e-09,497.68164038260375,743.3526256848085,0.6695094941302158,True,,,497.68164038260375,0.0,611271,445196,64421,eb2204987c028202d35667189673a18d104829814f29c7142f70eaa94f86c855,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,96.55027599999997,4.0,1.1900135635034336e-09,172.5643409184578,258.2639612929117,0.6681704255389426,True,,,172.5643409184578,0.0,611317,445133,64421,65cfadf1e9753f985e2138954cd70c83897bce2d6fc17e1eb341d1e7a0a19646,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,164.13546919999993,4.0,7.000079785314316e-10,59.804161392750885,89.6234353358937,0.667282627234884,True,,,59.804161392750885,0.0,611331,445191,64421,e81efa1dda9c33143688706142f2e7e553339d9f628db87dcc2d31216aebf6f5,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,279.0302976399999,4.0,4.1176939913613623e-10,20.717721021166913,31.072071807967166,0.6667634250206225,True,,,20.717721021166913,0.0,611338,445333,64421,55b63db82b667100792696767165e9ec927a43d3e813b5a1b66d8c7b41161fdf,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,363.8109974998197,4.0,3.1581271261613513e-10,12.187960315713136,18.29116015852191,0.6663306323975696,True,,,12.187960315713136,0.0,611341,445295,64421,b0af5bc163247701e4089f548664e0d99828558768d641966bd5b85fa4ef1d5c,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,388.7603265180439,4.0,2.955449158844845e-10,10.669993241462082,16.02140425646239,0.6659836472922301,True,,,10.669993241462082,0.0,611342,445070,64421,848b81ce19f20cf52a1d6e0b2dc768d0818fcd2049800a03d359e076f8e000a1,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,395.260546709984,4.0,2.9068455973245207e-10,10.322083968156432,15.499387784955516,0.6659672053741094,True,,,10.322083968156432,0.0,611342,445070,64421,b61cd814a762f69aa2ee588ca516261c3093c7f0f949a2953a300522828e9fc4,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,398.55130123826865,4.0,2.8828443827187726e-10,10.152405842300523,15.244790064297014,0.6659590456465024,True,,,10.152405842300523,0.0,611342,445070,64421,50398ac4f0682b053d6d96d4e3b3080efbdb2e0f59ba5e1516f1a4ec710cce35,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,400.20693827209175,4.0,2.8709181928746246e-10,10.068615400470074,15.119063129937302,0.6659549810684485,True,,,10.068615400470074,0.0,611342,445070,64421,c495fe5f3f1d831014955f94a71a3c9b8423d56bed8bdb5d6f79966ad7db1d4e,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.0373341602427,4.0,2.8649736125088767e-10,10.026979811080844,15.056588865570113,0.665952952598017,True,,,10.026979811080844,0.0,611342,445070,64421,64f7da93ddeef1d26352dfc01f9416907ccbd83d800e410f6922aed31a35606d,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.4531780067766,4.0,2.86200593978261e-10,10.006226611241129,15.025448565405734,0.6659519393170895,True,,,10.006226611241129,0.0,611342,445070,64421,6c0000632efdf5579b05f97e3b0f47f414c97989bb824958ff020c247795800f,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.5572063254874,4.0,2.8612645020463024e-10,10.001045024829708,15.017673554451104,0.6659516860962454,True,,,10.001045024829708,0.0,611342,445070,64421,29e75ffb194c02403b1380b5fb596c7542065771fc0d2fb1393dae173b3c95cc,bisection_evaluation
