reference,branch,mass_GeV,eventcalc_coupling_GeV_inv,reference_coupling_GeV_inv,log10_reference_over_eventcalc_dex,absolute_log_distance_dex,coupling_ratio_reference_over_eventcalc
geom_only,lower,0.054927238470510786,6.370080837009233e-08,6.59436907970069e-08,0.01502830686562984,0.01502830686562984,1.0352096383751326
geom_only,lower,0.05536652161510582,6.343872115906116e-08,6.567973407994765e-08,0.015076966176362486,0.015076966176362486,1.0353256320421016
geom_only,lower,0.05580931794708289,6.317771226568303e-08,6.541333964886876e-08,0.015102426835085165,0.015102426835085165,1.0353863301314898
geom_only,lower,0.056255655563321495,6.291777725338549e-08,6.515171997213259e-08,0.01515251379854999,0.01515251379854999,1.0355057476005622
geom_only,lower,0.05670556278540726,6.265891170384921e-08,6.489126523747228e-08,0.015203394498093404,0.015203394498093404,1.0356270715995524
geom_only,lower,0.057159068161428975,6.240111121693388e-08,6.46315562907953e-08,0.015252290096618996,0.015252290096618996,1.0357436755590361
geom_only,lower,0.05761620046779015,6.214437141060234e-08,6.437419730104184e-08,0.015310027255874345,0.015310027255874345,1.0358813813676948
geom_only,lower,0.05807698871103479,6.188868792084718e-08,6.411335162137509e-08,0.015337205397024383,0.015337205397024383,1.035946208835016
geom_only,lower,0.05854146212968829,6.163405640161552e-08,6.385785057982742e-08,0.015393544881796986,0.015393544881796986,1.0360806071844657
geom_only,lower,0.059009650196112304,6.138072289629275e-08,6.359833165134064e-08,0.015413724208961832,0.015413724208961832,1.0361287493924551
geom_only,lower,0.0594815826183752,6.113110457828717e-08,6.334391245240772e-08,0.015442641040122475,0.015442641040122475,1.0361977407309357
geom_only,lower,0.05995728934213697,6.088250138851312e-08,6.30827300556608e-08,0.015417992854930899,0.015417992854930899,1.0361389334696882
geom_only,lower,0.0604368005525494,6.063490919872658e-08,6.281540407915461e-08,0.015343426302219928,0.015343426302219928,1.0359610480042383
geom_only,lower,0.06092014667617149,6.038832389747211e-08,6.254453760582762e-08,0.01523641035662939,0.01523641035662939,1.0357058048508905
geom_only,lower,0.061407358382899936,6.0142741390014e-08,6.22736064650686e-08,0.015120797877857571,0.015120797877857571,1.0354301288203067
geom_only,lower,0.06189846658791547,5.989815759826907e-08,6.200079029947196e-08,0.014983761140865859,0.014983761140865859,1.0351034620347597
geom_only,lower,0.06239350245364441,5.965456846073846e-08,6.17314437540671e-08,0.014862725837438162,0.014862725837438162,1.0348150250168273
geom_only,lower,0.06289249739173598,5.9411969932440295e-08,6.146415380861904e-08,0.014747954376143312,0.014747954376143312,1.0345415894896661
geom_only,lower,0.06339548306505557,5.91703579848425e-08,6.119619552047878e-08,0.014620226723804038,0.014620226723804038,1.0342373716271116
geom_only,lower,0.06390249138969378,5.892972860579605e-08,6.092896638628073e-08,0.014489369704741661,0.014489369704741661,1.0339257931061987
geom_only,lower,0.0644135545369917,5.869007779946785e-08,6.066563437179564e-08,0.01437805809900096,0.01437805809900096,1.0336608272880106
geom_only,lower,0.06492870493558207,5.845140158627511e-08,6.040340796668468e-08,0.014266512830761077,0.014266512830761077,1.033395373377461
geom_only,lower,0.06544797527344727,5.821369600281878e-08,6.012692985497382e-08,0.014043855242467132,0.014043855242467132,1.0328656997154484
geom_only,lower,0.06597139849999327,5.799944048359995e-08,5.985270220842608e-08,0.013659958581494745,0.013659958581494745,1.0319530966053054
geom_only,lower,0.06649900782814049,5.7807414188351946e-08,5.957792941424994e-08,0.013101862394739445,0.013101862394739445,1.030627822585684
geom_only,lower,0.0670308367364312,5.7616023659548447e-08,5.930628847868405e-08,0.012557463388686643,0.012557463388686643,1.029336714194706
geom_only,lower,0.0675669189711538,5.7425266792275e-08,5.903459192231842e-08,0.012003543955485958,0.012003543955485958,1.0280246870400245
geom_only,lower,0.0681072885484844,5.723514148858567e-08,5.876561467451852e-08,0.011460522372599907,0.011460522372599907,1.0267400961389792
geom_only,lower,0.06865197975664482,5.7045645657480946e-08,5.849345634270324e-08,0.01088478436472949,0.01088478436472949,1.0253798632399636
geom_only,lower,0.06920102715807869,5.6856777214883804e-08,5.822919337989613e-08,0.010358534935201096,0.010358534935201096,1.0241381279812156
geom_only,lower,0.06975446559164432,5.6668534083617696e-08,5.795800553884394e-08,0.009771453693454083,0.009771453693454083,1.0227546287561198
geom_only,lower,0.07031233017482545,5.6480914193382784e-08,5.7707264195747256e-08,0.00932876808674179,0.00932876808674179,1.0217126443485958
geom_only,lower,0.07087465630595954,5.629391548073412e-08,5.747810701136216e-08,0.009040999872889116,0.009040999872889116,1.021035870760017
geom_only,lower,0.07144147966648377,5.610753588905801e-08,5.724648151408497e-08,0.008727603273873024,0.008727603273873024,1.0202993342512672
